No.,Title,Text
1,ミツウロコグリーンエネルギー、系統用蓄電池第2号案件運用開始,ミツウロコグリーンエネルギー（東京都中央区）は12月15日、再生可能エネルギー主力電源化の普及および電力系統の安定化に向けた取り組みとして、宮城県仙台市の所有地に系統用蓄電池を設置し「ミツウロコ宮城県仙台蓄電所」として運用を開始した。同蓄電所は9月20日より運用を開始した「ミツウロコ愛知県田原蓄電所」」に続く2件目。出力は1534kW、容量は6140kWhとなっており、蓄電池を「調整力」として活用し、再エネ電源の発電計画に対する過不足分を蓄電池の充放電制御で補うことで電力系統の安定化にも寄与する。また、本蓄電所は分散型エネルギーリソースの制御などに用いることも可能だという。
2,東京都、「超小型燃料電池車の開発」など13件の地域発製品開発を支援,東京都と東京都中小企業振興公社は12月21日、東京の地域資源等を活用した、または、都市課題を解決する新製品・新サービスの開発に取り組む中小企業者等を支援する事業について、13件の支援先を決定したと発表した。事業名は2023年度「TOKYO地域資源等を活用したイノベーション創出事業」。地域資源活用事業と東京の都市課題解決事業により製品等の開発に取り組み、地域発の小さなイノベーションを創出することが狙い。
3,トヨタ、タイでの脱炭素化に向けた協業を加速へ　合意書締結,トヨタ自動車（愛知県豊田市）は12月19日、タイのCharoen Pokphand（CP）グループ、True　Leasing（TLS）、Siam Cement Group（SCG）とトヨタ出資のCommercial Japan Partnership Technologies（CJPT／東京都文京区）と共に、タイでのカーボンニュートラル実現に向けた協業を加速するため、協業基本合意書を締結したと発表した。財閥であるCPグループ、セメント製造のSCGの現場で、物流効率化やカーボンニュートラル車両を導入するなどこれまで実施してきた協業の成果を踏まえ、さらなる取り組みの推進がねらい。自国の資源を活かした「タイならでは」のカーボンニュートラル社会の実現を目指す。
4,北陸電力に業務改善指導、グループ送配電会社を通じ新電力の顧客情報が筒抜け,電力・ガス取引監視等委員会は12月19日、北陸電力（富山県富山市）グループの一般送配電事業者である北陸電力送配電（同）に対し、新電力の顧客等に係る非公開情報の漏えい等に係る業務改善指導を行ったと発表した。今般、北陸電力送配電において、新電力の顧客等に係る非公開情報が、北陸電力において閲覧可能な状態となっていたことが判明した。いずれの事案においても、北陸電力の従業員による不適切な情報の閲覧や業務利用は認められていない。
5,COP28、2030年に再エネ3倍、エネ効率2倍とする目標で合意,アラブ首長国連邦（UAE）・ドバイにおいて開催されていた、国連気候変動枠組条約第28回締約国会議（COP28）は12月13日（現地時間）、最終合意文書「UAEコンセンサス」を採択して閉幕した。この最終合意文書では、2030年までに世界の再生可能エネルギーの容量を3倍とし、エネルギー効率を2倍にする目標の設定や、化石燃料からの脱却の加速に言及している。石油、ガス、石炭などの化石燃料については、「段階的に削減」または「段階的に廃止」すべきという意見もあり、議論は紛糾した。※記事単位での購入はポイントが必要です
6,東急不動産、保有ビルZEB化　電気使用量42％・CO2年間1360t減,東急不動産（東京都渋谷区）は12月18日、管理運営する「一番町東急ビル」（東京都千代田区）、「恵比寿ビジネスタワー」（東京都渋谷区）が、それぞれ同月1日・8日付けで改修工事によるBELS（建築物省エネルギー性能表示制度）評価を取得し、ZEB Orientedを達成したと発表した。また、「日本橋本町東急ビル」（東京都中央区）も現在BELS申請中（2024年1月末に取得予定）で、ZEB Orientedを達成する見込みとしてる。
7,AZEC首脳会合　岸田首相は経済界同士の連携に向けた会議設置を提案,日ASEAN（東南アジア諸国連合）友好協力50周年を記念する日ASEAN特別首脳会議が、12月16日～18日に東京で開催された。また、この機会を捉え、12月18日に、各国の状況に合わせた多様な道筋でアジア地域全体の脱炭素化を目指す、アジア・ゼロエミッション共同体（AZEC）首脳会合が開催された。AZEC首脳会合には、AZECパートナー国の首脳が参加し、AZECの考え方や活動に係る議論を実施した。経済産業省は12月18日、この会合の結果をとりまとめ報告した。
8,三菱地所、国内初「気候テック」に特化したイノベーション拠点を来年秋開設,三菱地所（東京都千代田区）は、「気候テック（Climate Tech）」において国内初のイノベーション拠点「（仮称）Japan Climate Tech Lab」を新大手町ビル（東京都千代田区）を2024年秋に開設することを発表した。
9,水素・CCUSは黄信号か　ビジネス視点で見る地球沸騰化時代のCOP28,COP28が12月13日に閉幕した。7月に国連のグテーレス事務総長が「地球沸騰の時代が到来した」と警鐘を鳴らした後のこの会議。その結果は、ビジネス視点ではどのように捉えられるものだろうか。再エネや省エネ、石炭火力、水素、CCUSなどのそれぞれの事業や技術の果たす役割が見えてくる。京都大学名誉教授で地球環境戦略研究機関シニアフェローの松下 和夫氏に「COP28の結果とビジネスへの意味」を解説してもらった。（後編、前編はこちら）COP28の結果は、今後のビジネスにとってどのような意味があるか。第1は、国際社会が再エネを2030年までに3倍に拡大することに合意したことから、日本でも再エネの拡大を最大限加速する必要性が高まることである。※記事単位での購入はポイントが必要です
10,再エネ価値はさらに細分化するか？ ―非化石価値市場の変遷とビジネスチャンス（2）,連載「再エネビジネスの視点で捉える電力業界における最近の注目動向」第14回。非化石価値取引市場は、再エネ価値取引市場、高度化法義務達成市場（再エネ指定なし／あり）の3つに分かれている。課題となっていることや、さらなる細分化が懸念される理由とは何か。再エネ電力事業の最前線で立上げ・運営をリードした小嶋 祐輔氏が解説する。（バックナンバーはこちら）前回に引き続き、非化石価値取引市場について解説する。需要家側のニーズに合わせる形で、価値の体系や市場が多様になったが、それにより、それぞれが市場を形成するほどの規模にならない課題が発生している。電気を使う人の再エネ価値の調達方法や、小売電気事業者の皆さんが非化石価値取引の方針策定をする上で一助にしてもらいたい。現在、非化石価値取引市場は、（1）再エネ価値取引市場（FIT電源から出てくる非化石価値を取引する市場）、（2）高度化法義務達成市場（再エネ指定なし）、（3）高度化法義務達成市場（再エネ指定あり）の3つに分かれている。高度化法義務達成市場は、非化石価値のある電源からの電力調達を義務付けられた事業者が、義務達成のために非化石価値を調達できる市場である。※記事単位での購入はポイントが必要です
